,titles,labels,CountVec,TFIDF,Doc2Vec,counts
49,Consciousness_5 The explanatory question How can consciousness exist.txt,mind,3,2,5,1
50,Philosophy of Mathematics_4 Structuralism and Nominalism.txt,mathematics,5,3,2,1
51,Immanuel Kant_2 Kants project in the Critique of Pure Reason.txt,mind,3,2,3,1
52,Religious Language_3 The Use of Religious Language.txt,language,0,0,3,1
53,Structured Propositions_5 Historical Antecedents to Current Views Russell.txt,language,4,3,4,1
54,Medieval Theories of the Syllogism_3 Arabic Logic and Syllogisms.txt,language,4,3,4,1
55,Virtue Ethics_2 Forms of Virtue Ethics.txt,ethics,3,2,1,1
56,Philosophy of Mathematics_5 Special Topics.txt,mathematics,1,1,2,1
57,Neutral Monism_5 Contemporary Versions of Neutral Monism.txt,mind,3,2,1,1
58,The Correspondence Theory of Truth_8 The Correspondence Theory and Its Competitors.txt,ontology,5,0,0,1
59,Mental Representation_3 Conceptual and NonConceptual Representation.txt,ontology,2,4,5,1
60,The Analysis of Knowledge_3 The Gettier Problem.txt,mind,0,5,0,1
61,Qualia_10 Which Creatures Undergo States with Qualia.txt,ontology,2,4,5,1
62,Logic and Artificial Intelligence_1 Logic and Artificial Intelligence.txt,logic,4,3,4,1
63,Reasons for Action  Justification  Motivation  Explanation_3 Motivating and Explanatory Reasons.txt,mind,3,2,1,1
64,Bernard Bolzano_11 Philosophy of Mathematics.txt,language,4,1,2,1
65,Alfred Jules Ayer_7 Ethics.txt,ethics,0,2,3,1
66,Medieval Theories of the Syllogism_10 Summary.txt,logic,1,3,4,1
67,Qualia_1 Uses of the Term Qualia.txt,ontology,2,4,5,1
68,Singular Propositions_3 Reasons for Singular Propositions The argument from indexicals and demonstratives.txt,mind,0,5,3,1
69,Knowledge by Acquaintance vs  Description_8 Concluding Remarks.txt,mind,0,5,1,1
70,Cognitive Science_1 History.txt,mind,2,2,1,1
71,Representational Theories of Consciousness_3 Arguments in Favor of the Representational Theory of Sensory Qualities.txt,ontology,2,4,5,1
72,Logical Constants_3 A Davidsonian approach.txt,ontology,1,3,4,1
73,Modal Logic_5 Conditional and Relevance Logics.txt,logic,4,1,2,1
74,Logical Constants_5 Permutation invariance.txt,logic,4,1,2,1
75,Willard Van Orman Quine_7 Quines place in the history of philosophy.txt,logic,5,0,0,1
76,Intentionality_10 Is intentionality exhibited by all mental phenomena.txt,mind,2,4,5,1
77,Propositional Function_1 PreHistory.txt,logic,1,3,4,1
78,Aristotles Logic_12 Time and Necessity The SeaBattle.txt,language,1,0,0,1
79,Set Theory_8 Forcing.txt,logic,1,1,2,1
80,Wittgensteins Logical Atomism_1 Names and Objects.txt,language,1,3,4,1
81,Immanuel Kant_6 The highest good and practical postulates.txt,ethics,3,2,3,1
82,Medieval Theories of the Syllogism_7 William of Ockham.txt,language,1,3,4,1
83,Bertrand Russell_4 Russells Theory of Definite Descriptions.txt,logic,4,3,4,1
84,Abstract Objects_6 The Way of Abstraction.txt,ontology,5,0,0,1
85,Hans Reichenbach_8 Retrospective.txt,mathematics,5,0,0,1
86,Second order and Higher order Logic_10 Categoricity.txt,language,4,1,2,1
87,Herbert Feigl_5 Writings on Value Judgment Humanism and Religion.txt,ethics,5,5,4,1
88,Externalism About Mental Content_3 Responses to the Classic Arguments.txt,mind,2,4,5,1
89,Logic and Artificial Intelligence_4 Reasoning about Action and Change21.txt,logic,5,3,4,1
90,Sense Data_1  What Are Sense Data.txt,mind,3,2,1,1
91,Type Theory_3 Ramified Hierarchy and Impredicative Principles.txt,mathematics,1,1,2,1
92,Rudolf Carnap_9 Final Years and Legacy.txt,logic,1,3,4,1
93,Moral Psychology  Empirical Approaches_7 Conclusion.txt,ethics,3,4,3,1
94,Folk Psychology as Mental Simulation_7 Conclusion.txt,mind,3,2,5,1
95,Truthmakers_2 Which range of truths are eligible to be made true if any are.txt,ontology,5,0,4,1
96,Folk Psychology as Mental Simulation_5 Simulation Theory and TheoryTheory.txt,mind,3,2,5,1
97,The Deflationary Theory of Truth_5 Is Truth A Property.txt,ontology,5,0,0,1
98,Gertrude Elizabeth Margaret Anscombe_3 Metaphysics.txt,language,0,5,1,1
99,Vagueness_4 Manyvalued Logic.txt,logic,4,1,2,1
100,Ludwig Wittgenstein_2 The Early Wittgenstein.txt,language,1,3,4,1
101,Moral Psychology  Empirical Approaches_3 Moral Responsibility.txt,ethics,3,2,5,1
102,"Logic and Artificial Intelligence_9 Logical Approaches to Natural Language and 
Communication.txt",language,1,3,4,1
103,Consciousness and Intentionality_8 Consciousness in Mind.txt,mind,3,4,5,1
104,Logicism and Neologicism_2 NeoFregeanism.txt,mathematics,4,1,2,1
105,Moral Naturalism_3 Contemporary Naturalism.txt,ethics,3,2,3,1
106,Second order and Higher order Logic_16 Finite Model Theory.txt,logic,4,1,2,1
107,The Contents of Perception_1 What are Perceptual Experiences.txt,ontology,2,4,1,1
108,Thomas Reid_6 Moral Philosophy.txt,ethics,0,2,0,1
109,Francis Herbert Bradley_4 Ethics.txt,ethics,0,2,3,1
110,Consciousness_7 Theories of consciousness.txt,mind,3,2,3,1
111,Kurt Gdel_1 Biographical Sketch.txt,mathematics,4,1,2,1
112,A Priori Justification and Knowledge_2 What sorts of propositions can be a priori justified and known all and only modal propositions.txt,mind,1,0,3,1
113,Formalism in the Philosophy of Mathematics_5 Nominalist Formalism.txt,ontology,1,3,2,1
114,Constructive Mathematics_3 Varieties of Constructive Mathematics.txt,mathematics,4,1,2,1
115,Connectionism_4 Strengths and Weaknesses of Neural Network Models.txt,mind,0,5,1,1
116,Moral Non Naturalism_2 The Open Question Argument.txt,ethics,0,5,3,1
117,The Problem of Perception_3 Theories of Experience.txt,ontology,2,4,5,1
118,Sense Data_3 Objections to Sense Data.txt,ontology,3,2,1,1
119,Second order and Higher order Logic_8 Decidability Results.txt,logic,4,1,2,1
120,Other Minds_1 The Traditional Epistemological Problem.txt,mind,3,2,5,1
121,Bertrand Russell_6 Russells Atheism.txt,ethics,0,5,0,1
122,Embodied Cognition_6 Sharper Divides Over Embodied Cognition.txt,mind,3,2,5,1
123,Folk Psychology as Mental Simulation_2 What is Meant by Mental Simulation.txt,mind,2,4,1,1
124,The Problem of Perception_1 The Ordinary Conception of Perceptual Experience.txt,ontology,2,4,5,1
125,Classical Logic_6 The One Right Logic.txt,logic,4,1,4,1
126,Bernard Bolzano_12 Metaphilosophy and History of Philosophy.txt,mind,5,0,4,1
127,Externalism About Mental Content_4 The Scope of Externalism.txt,mind,2,4,5,1
128,Singular Propositions_62 Temporal Problems for Singular Propositions Qualitative Change.txt,ontology,5,0,0,1
129,Intentionality_3 The relational nature of singular thoughts.txt,mind,0,5,3,1
130,Interpretations of Probability_3 The Main Interpretations.txt,mathematics,5,0,4,1
131,Descriptions_8 Conclusion.txt,language,1,3,4,1
132,Logical Constructions_9 The Construction of Matter.txt,ontology,5,0,4,1
133,Immanuel Kant_4 The transcendental deduction.txt,ontology,3,2,3,1
134,The Philosophy of Neuroscience_4 Consciousness Explained.txt,mind,2,4,5,1
135,Logical Constants_1 Syncategorematic terms.txt,logic,4,1,4,1
136,Alfred Tarski_1 Biographical sketch.txt,mathematics,1,3,2,1
137,Alfred North Whitehead_6 Metaphysics.txt,ontology,3,5,4,1
138,Eliminative Materialism_1 A Brief History.txt,mind,3,2,5,1
139,Analysis_6 Conceptions of Analysis in Analytic Philosophy and the Introduction of the Logical Transformative Conception.txt,logic,1,3,4,1
140,Descartes Epistemology_4 The Cogito and Doubt.txt,mind,0,5,3,1
141,Second order and Higher order Logic_5 The Infamous Power of SecondOrder Logic.txt,logic,4,1,2,1
142,Abstract Objects_3 The Way of Negation.txt,ontology,0,0,4,1
143,Physicalism_4 Supervenience Physicalism Further Issues.txt,mind,0,5,3,1
144,Medieval Theories  Properties of Terms_4 Ampliation and Restriction.txt,language,5,0,0,1
145,Behaviorism_2 Three Types of Behaviorism.txt,mind,3,2,5,1
146,Ernst Cassirer_3 Philosophy of Mathematics and Natural Science.txt,mathematics,5,3,2,1
147,Other Minds_4 Thinking about Mind Prior to the Twentieth Century.txt,mind,3,5,1,1
148,Set Theory_4 The universe V of all sets.txt,mathematics,4,1,2,1
149,William of Ockham_6 Theory of Knowledge.txt,mind,3,2,1,1
150,Constructive Mathematics_7 Constructive Mathematical Economics and Finance.txt,mathematics,1,1,2,1
151,Mental Imagery_3 Imagery in the Age of Scientific Psychology.txt,mind,2,2,5,1
152,Mental Representation_9 Thought and Language.txt,mind,0,2,3,1
153,Descartes Epistemology_1 Conception of Knowledge.txt,mind,0,5,1,1
154,Tarskis Truth Definitions_3 The 1956 definition and its offspring.txt,ontology,4,1,2,1
155,Singular Propositions_6 Temporal Problems for Singular Propositions.txt,language,1,3,0,1
156,Folk Psychology as Mental Simulation_6 Simulation Theory Pros and Cons.txt,mind,2,4,5,1
157,Causal Theories of Mental Content_1 Introduction.txt,mind,2,4,3,1
158,Alfred North Whitehead_8 Whiteheads Influence.txt,mind,0,0,4,1
159,Propositions_5 Linguistic Problems.txt,language,5,0,0,1
160,Logicism and Neologicism_1 Historical background.txt,mathematics,1,3,2,1
161,Medieval Theories of the Syllogism_9 Later Medieval Developments of the Theory.txt,logic,4,1,0,1
162,Knowledge by Acquaintance vs  Description_4 Acquaintance Thought and A Priori Knowledge.txt,mind,0,5,0,1
163,The Contents of Perception_7 Content and Phenomenology.txt,ontology,2,4,5,1
164,Logical Form_6 Regimentation and Communicative Slack.txt,language,4,3,4,1
165,Luitzen Egbertus Jan Brouwer_4 Brouwers Development of Intuitionism.txt,mathematics,1,1,2,1
166,The Analysis of Knowledge_8 Epistemic Luck.txt,mind,3,5,3,1
167,Embodied Cognition_1 Embodied vs Traditional Cognitive Science.txt,mind,2,4,5,1
168,Logical Empiricism_1 Mapping the Movement.txt,logic,1,3,0,1
169,Propositional Attitude Reports_1 Freges Puzzle.txt,language,5,0,3,1
170,Second order and Higher order Logic_3 The Semantics of SecondOrder Logic.txt,logic,4,1,2,1
171,Principia Mathematica_4 Volume I.txt,logic,4,1,2,1
172,Skepticism_3 The Argument for Cartesian Skepticism Employing the Closure Principle.txt,language,5,5,3,1
173,Alfred Jules Ayer_2 Meaning and Truth.txt,ontology,1,0,3,1
174,The Analysis of Knowledge_12 Pragmatic Encroachment.txt,mind,3,5,1,1
175,Intentionality_8 Is intensionality a criterion of intentionality.txt,mind,0,5,3,1
176,Second order and Higher order Logic_15 SecondOrder Set Theory.txt,mathematics,4,1,2,1
177,Propositional Function_5 The Emergence of Propositional Functions.txt,language,4,3,2,1
178,Medieval Theories of the Syllogism_8 John Buridan.txt,language,1,3,4,1
179,Propositional Function_6 Propositional Functions in  Simple Type Theory.txt,mathematics,4,1,2,1
180,Moral Cognitivism vs  Non Cognitivism_5 Can The CognitivistNoncognitivist Distinction Be Sustained.txt,ethics,0,5,1,1
181,Logical Consequence_2 Formal and Material Consequence.txt,logic,1,3,4,1
182,Gottlob Frege_3 Freges Philosophy of Language.txt,language,1,3,0,1
183,Ren Descartes_3 A New Metaphysics.txt,mind,3,2,3,1
184,Wittgensteins Philosophy of Mathematics_1 Wittgenstein on Mathematics in the Tractatus.txt,language,4,3,2,1
185,Abstract Objects_2 Historical Remarks.txt,ontology,0,0,4,1
186,Russells Moral Philosophy_8 Objections to Emotivism and Relativism.txt,ethics,5,0,0,1
187,Logical Empiricism_2 Background.txt,logic,1,3,4,1
188,Freges Theorem and Foundations for Arithmetic_3 Freges Analysis of Cardinal Numbers.txt,mathematics,1,3,2,1
189,Embodied Cognition_4 Embodiment vs Tradition on Three Issues.txt,mind,3,2,5,1
190,The Contents of Perception_8 Theories of Intentionality for Experience.txt,ontology,2,4,5,1
191,Physicalism_5 Supervenience Physicalism as Minimal Physicalism.txt,mind,3,2,1,1
192,Consciousness_3 Problems of Consciousness.txt,mind,3,2,1,1
193,The Analysis of Knowledge_6 Doing Without Justification.txt,mind,3,2,1,1
194,Philosophy of Mathematics_3 Platonism.txt,mathematics,5,3,4,1
195,Alfred Jules Ayer_5 Knowledge.txt,mind,5,5,3,1
196,Mental Representation_4 Representationalism and Phenomenalism.txt,ontology,2,4,5,1
197,Metaethics_1 General Observations.txt,ethics,3,2,3,1
198,Consciousness_6 The functional question Why does consciousness exist.txt,mind,3,4,5,1
199,Quantifiers and Quantification_1 Classical Quantificational Logic.txt,logic,4,1,2,1
200,Second order and Higher order Logic_2 The Syntax of SecondOrder Logic.txt,logic,4,1,4,1
201,Consequentialism_7 Arguments for Consequentialism.txt,ethics,3,2,3,1
202,Moral Psychology  Empirical Approaches_6 Moral Disagreement.txt,ethics,3,2,5,1
203,The Identity Theory of Truth_5 Difficulties with the theory and possible solutions.txt,language,1,0,4,1
204,Propositional Attitude Reports_7 Denying the assumption of structuredpropositionalism.txt,language,5,0,0,1
205,Cognitive Science_5 Philosophical Relevance.txt,mind,3,2,5,1
206,Propositional Function_2 The Logic of Relatives.txt,logic,1,3,4,1
207,Russells Logical Atomism_5 Influence and Reception.txt,logic,1,0,4,1
208,Russells Paradox_1 The Paradox.txt,mathematics,4,1,2,1
209,Formalism in the Philosophy of Mathematics_7 The CurryHoward Correspondence.txt,logic,1,3,2,1
210,Qualia_4 Functionalism and Qualia.txt,ontology,2,4,5,1
211,Second order and Higher order Logic_14 SecondOrder Arithmetic.txt,mathematics,4,1,2,1
212,Plato_10 Does Plato change his mind about politics.txt,mind,0,5,4,1
213,Set Theory_7 Gdels constructible universe.txt,logic,4,1,2,1
214,Neutral Monism_8 Neutral Monism and Other Doctrines.txt,mind,3,2,3,1
215,Logical Constructions_4 Definite Descriptions.txt,logic,1,1,2,1
216,Consciousness and Intentionality_4 Intentionality and the Analytic Heritage.txt,mind,3,4,1,1
217,Immanuel Kant_7 The unity of nature and freedom.txt,ethics,3,2,3,1
218,Abstract Objects_7 Further Reading.txt,ontology,0,0,4,1
219,Behaviorism_3 Roots of Behaviorism.txt,mind,3,2,5,1
220,Structured Propositions_3 Some Recent Accounts of Structured Propositions.txt,language,1,3,0,1
221,Narrow Mental Content_3 Arguments for Narrow Content.txt,ontology,2,4,5,1
222,Moral Non Naturalism_6 Explaining Supervenience.txt,ethics,3,2,1,1
223,The Notation in Principia Mathematica_3 The Use of Dots for Punctuation.txt,mathematics,4,3,2,1
224,Logicism and Neologicism_3 Secondorder logic with Humes Principle.txt,mathematics,1,1,2,1
225,Truthmakers_3 What Motivates the Doctrine of Truthmakers.txt,ontology,5,0,0,1
226,Medieval Theories of the Syllogism_5 The Early Commentators on the Prior Analytics.txt,language,5,3,0,1
227,Skepticism_4 Contextualism.txt,language,1,0,0,1
228,Intuitionism in the Philosophy of Mathematics_4 Constructivism.txt,mathematics,4,1,2,1
229,Moral Non Naturalism_5 Motivation.txt,ethics,3,2,1,1
230,Causal Theories of Mental Content_4 General Objections to Causal Theories of Mental Content.txt,mind,3,2,5,1
231,Formalism in the Philosophy of Mathematics_4 Formalism and the Positivists.txt,mathematics,1,3,2,1
232,Set Theory_11 Forcing axioms.txt,mathematics,4,1,2,1
233,Singular Propositions_1 Fregeanism and Russellianism.txt,mind,5,0,3,1
234,The Language of Thought Hypothesis_1 Mental Language.txt,mind,0,5,1,1
235,Principia Mathematica_2 History of and Significance of Principia Mathematica.txt,logic,4,1,2,1
236,Second order and Higher order Logic_7 Model Theory of SecondOrder Logic.txt,logic,4,1,2,1
237,Modal Logic_4 Temporal Logics.txt,logic,4,1,4,1
238,Logical Truth_2 The Mathematical Characterization of Logical Truth.txt,logic,4,1,2,1
239,Hans Reichenbach_5 Logic and Modality.txt,logic,4,3,2,1
240,Moral Psychology  Empirical Approaches_1 Introduction What is Moral Psychology.txt,ethics,3,2,5,1
241,Ernst Mach_1 Summary.txt,ontology,3,2,1,1
242,Virtue Ethics_4 Future Directions.txt,ethics,0,5,0,1
243,Modal Logic_1 What is Modal Logic.txt,logic,4,1,0,1
244,Mental Representation in Medieval Philosophy_2 Thomas Aquinas and Formal Sameness.txt,mind,3,2,5,1
245,Knowledge by Acquaintance vs  Description_3 Acquaintance and Noninferential Knowledge.txt,mind,3,2,1,1
246,Consciousness_9 Specific Theories of Consciousness.txt,mind,3,2,5,1
247,The Frege Hilbert Controversy_2 Hilberts Foundations of Geometry.txt,mathematics,4,1,2,1
248,The Contents of Perception_4 The Representation of Properties.txt,ontology,2,4,5,1
249,Russells Paradox_3 Early Responses to the Paradox.txt,mathematics,1,3,2,1
250,Formalism in the Philosophy of Mathematics_6 Term Formalism Curry.txt,mathematics,4,3,2,1
251,Propositions_3 Roles for Propositions Semantics.txt,language,4,3,0,1
252,Representational Theories of Consciousness_2 Varieties of Representationalism.txt,ontology,2,4,5,1
253,Intentionality_5 True negative existential beliefs.txt,language,1,0,0,1
254,The Computational Theory of Mind_3 The classical computational theory of mind.txt,mind,3,5,5,1
255,Model Theory_3 Modeltheoretic consequence.txt,logic,4,3,2,1
256,Philosophy of Mathematics_2 Four schools.txt,mathematics,1,1,2,1
257,States of Affairs_1 Introducing States of Affairs.txt,ontology,3,5,0,1
258,Bernard Bolzano_9 Metaphysics.txt,language,5,0,4,1
259,The Computational Theory of Mind_5 Computation and representation.txt,mind,2,2,5,1
260,Second order and Higher order Logic_6 NonAbsoluteness of Truth in SecondOrder Logic.txt,logic,4,1,2,1
261,Logical Constructions_3 Natural Numbers.txt,logic,4,1,2,1
262,Medieval Theories of the Syllogism_2 Boethius.txt,language,1,3,0,1
263,Mental Representation_5 Imagery.txt,ontology,2,4,1,1
264,Connectionism_6 Connectionist Representation.txt,ontology,3,2,1,1
265,Constructive Mathematics_2 The Constructive Interpretation of Logic.txt,mathematics,1,1,2,1
266,The Language of Thought Hypothesis_7 Naturalizing the Mind.txt,mind,3,2,5,1
267,Logical Form_1 Patterns of Reason.txt,language,4,3,4,1
268,A Priori Justification and Knowledge_7 Even if intuitions can justify can they yield knowledge of the external world.txt,mind,0,5,3,1
269,Private Language_1 Overview Wittgensteins Argument and its Interpretations.txt,language,0,5,3,1
270,Principia Mathematica_5 Volume II.txt,mathematics,4,1,2,1
271,Set Theory_2 The axioms of set theory.txt,mathematics,4,1,2,1
272,Religious Language_2 The Content of Religious Utterances.txt,language,0,5,1,1
273,Certainty_3 Two dimensions of certainty.txt,mind,0,5,3,1
274,Singular Propositions_4 Reasons for Singular Propositions The reduplication argument.txt,mind,0,5,3,1
275,The Frege Hilbert Controversy_6 Conclusion.txt,language,1,3,4,1
276,Modal Logic_6 Possible Worlds Semantics.txt,ontology,4,1,4,1
277,John Buridan_4 Logic.txt,language,4,3,4,1
278,Freges Theorem and Foundations for Arithmetic_4 Freges Analysis of Predecessor Ancestrals and the Natural Numbers.txt,mathematics,1,1,2,1
279,Phenomenal Intentionality_4 Arguments for PIT.txt,ontology,2,4,5,1
280,Type Theory_7 Univalent Foundations.txt,mathematics,4,1,2,1
281,Ontological Commitment_4 Ontological Commitment in Ordinary Language.txt,language,5,0,4,1
282,The Analysis of Knowledge_9 Methodological Options.txt,mind,3,5,3,1
283,Francis Herbert Bradley_5 Logic.txt,logic,5,0,4,1
284,Moores Moral Philosophy_2 Metaethical Innovations.txt,ethics,0,2,3,1
285,Rudolf Carnap_4 The Road to Syntax.txt,language,1,3,2,1
286,Epistemology_1 The Varieties of Cognitive Success.txt,mind,3,2,1,1
287,Consequentialism_5 Consequences of What Rights Relativity and Rules.txt,ethics,0,2,3,1
288,Logical Constructions_2 Logical Analysis and Logical Construction.txt,logic,1,3,2,1
289,Logical Form_10 Further Questions.txt,logic,1,3,4,1
290,Ernst Mach_3 Psychology and the Life Sciences.txt,mind,3,2,1,1
291,Behaviorism_5 Why be a Behaviorist.txt,mind,3,2,5,1
292,Mental Representation in Medieval Philosophy_1 The Ancient Background and the Formation of the Concept.txt,ontology,3,2,3,1
293,Otto Neurath_2 From economic theory to scientific epistemology.txt,language,5,0,3,1
294,Medieval Theories of the Syllogism_6 Richard of Campsall.txt,language,1,3,4,1
295,Logical Pluralism_3 Further kinds of Logical Pluralism.txt,logic,4,1,4,1
296,The Correspondence Theory of Truth_1 History of the Correspondence Theory.txt,ontology,5,0,0,1
297,Externalism About Mental Content_9 Active Externalism.txt,mind,2,4,5,1
298,Modal Logic_2 Modal Logics.txt,logic,4,1,4,1
299,Wittgensteins Aesthetics_1 The Critique of Traditional Aesthetics.txt,language,0,0,3,1
300,William of Ockham_7 Ethics.txt,ethics,3,2,3,1
301,Epistemology_5 Sources of Knowledge and Justification.txt,mind,3,2,5,1
302,Formalism in the Philosophy of Mathematics_2 Game and Term Formalism.txt,mathematics,5,3,2,1
303,Externalism About Mental Content_6 Externalism and Selfknowledge.txt,mind,3,2,1,1
304,Qualia_8 Qualia as Intrinsic Nonrepresentational Properties of Experiences.txt,ontology,2,4,5,1
305,Descriptions_2 Russells Theory of Descriptions.txt,language,1,3,4,1
306,The Philosophy of Neuroscience_2 Eliminative Materialism and Philosophy Neuralized.txt,mind,3,2,1,1
307,Kurt Gdel_2 Gdels Mathematical Work.txt,mathematics,4,1,2,1
308,Reference_6 Negative Views of Reference.txt,language,0,0,0,1
309,Wittgensteins Logical Atomism_2 Linguistic Atomism.txt,language,1,3,4,1
310,Moritz Schlick_8 The Protocol Sentence Controversy.txt,language,5,0,3,1
311,Set Theory_5 Set theory as the foundation of mathematics.txt,mathematics,4,1,2,1
312,Modal Logic_13 Bisimulation.txt,logic,1,3,4,1
313,Qualia_9 Relational Theories of Qualia.txt,ontology,2,4,1,1
314,Ancient Logic_5 The Stoics.txt,logic,1,3,4,1
315,Second order and Higher order Logic_9 Axioms of SecondOrder Logic.txt,logic,4,1,2,1
316,Logical Constructions_8 Propositions and Propositional Functions.txt,language,4,3,4,1
317,Epistemological Problems of Perception_1 The Problem of the External World.txt,mind,3,2,1,1
318,Knowledge by Acquaintance vs  Description_5 Acquaintance and Inferential Knowledge.txt,mind,5,0,3,1
319,Moritz Schlick_4 Special Relativity.txt,ontology,0,5,0,1
320,Alfred Tarski_4 Logical constants.txt,logic,4,1,2,1
321,Self Knowledge_2 Doubts about the distinctiveness of selfknowledge.txt,mind,3,2,5,1
322,Wittgensteins Logical Atomism_3 Metaphysical Atomism.txt,language,5,0,4,1
323,Moral Non Naturalism_7 Methodology.txt,ethics,3,2,1,1
324,Willard Van Orman Quine_2 Quines Naturalism and its Implications.txt,mind,0,5,0,1
325,The Analysis of Knowledge_10 VirtueTheoretic Approaches.txt,mind,3,5,1,1
326,Second order and Higher order Logic_12 Higher Order Logic visvis Type Theory.txt,logic,4,1,2,1
327,Gottfried Wilhelm Leibniz_6 Epistemology.txt,mind,0,5,3,1
328,Medieval Theories of the Syllogism_4 Peter Abelard.txt,language,1,3,4,1
329,Wittgensteins Philosophy of Mathematics_4 The Impact of Philosophy of Mathematics on Mathematics.txt,mathematics,1,3,2,1
330,The Deflationary Theory of Truth_1 History of Deflationism.txt,ontology,1,3,0,1
331,Logical Constructions_7 Mathematical Functions.txt,mathematics,4,1,2,1
332,Consciousness_1 History of the issue.txt,mind,3,4,5,1
333,Bernard Bolzano_5 Ethics.txt,ethics,5,0,4,1
334,Descartes Epistemology_9 SelfKnowledge.txt,mind,3,2,5,1
335,The Language of Thought Hypothesis_8 Individuation of Mentalese Expressions.txt,mind,0,5,1,1
336,Epistemological Problems of Perception_4 Conclusion.txt,mind,0,5,3,1
337,The Analysis of Knowledge_1 Knowledge as Justified True Belief.txt,mind,0,5,1,1
338,Consequentialism_2 What is Consequentialism.txt,ethics,0,5,3,1
339,Propositional Function_9 Possible Worlds and Propositional Functions.txt,mathematics,4,1,2,1
340,Classical Logic_1 Introduction.txt,language,1,3,4,1
341,Connectionism_2 Neural Network Learning and Backpropagation.txt,mathematics,5,0,3,1
342,States of Affairs_6 Conclusion.txt,ontology,3,2,0,1
343,Logical Form_ 2 Propositions and Traditional Grammar.txt,language,4,3,0,1
