,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16,word17,word18,word19,word20
The Notation in Principia Mathematica_12 Conclusion.txt,"('definitions', 2)","('list', 2)","('constitute', 1)","('half', 1)","('last', 1)","('eight', 1)","('pages', 1)","('volume', 1)","('second', 1)","('edition', 1)","('consists', 1)","('complete', 1)","('three', 1)","('volumes', 1)","('correspondence', 1)","('bertrand', 1)","('russell', 1)","('archives', 1)","('suggests', 1)","('may', 1)"
The Deflationary Theory of Truth_6 The Deflationary Theory of Falsity.txt,"('falsity', 8)","('concept', 7)","('case', 5)","('truth', 4)","('fprop', 4)","('true', 4)","('someone', 3)","('theory', 3)","('account', 3)","('also', 2)","('one', 2)","('deflationary', 2)","('natural', 2)","('defines', 2)","('terms', 2)","('accept', 2)","('instances', 2)","('schema', 2)","('distinction', 2)","('package', 1)"
Modal Logic_10 Two Dimensional Semantics.txt,"('time', 23)","('possible', 12)","('world', 10)","('truth', 10)","('evaluation', 10)","('context', 9)","('semantics', 8)","('true', 7)","('utterance', 6)","('dimension', 6)","('one', 6)","('future', 6)","('two', 5)","('worlds', 5)","('example', 5)","('langle', 5)","('water', 5)","('linguistic', 4)","('given', 4)","('garson', 4)"
Alfred Tarski_5 Further reading.txt,"('logical', 8)","('truth', 8)","('tarski', 7)","('bibliography', 5)","('feferman', 5)","('work', 5)","('philosophical', 4)","('papers', 3)","('contains', 3)","('english', 3)","('vols', 3)","('woleński', 3)","('patterson', 3)","('consequence', 3)","('includes', 3)","('sher', 3)","('gómeztorrente', 3)","('mancosu', 3)","('translations', 2)","('also', 2)"
Descartes Epistemology_2 The Methods Foundationalism and Doubt.txt,"('doubt', 40)","('descartes', 27)","('method', 19)","('knowledge', 16)","('first', 16)","('principles', 13)","('ground', 12)","('doubts', 11)","('sceptical', 9)","('see', 9)","('two', 7)","('might', 7)","('epistemic', 7)","('methodical', 7)","('hyperbolic', 7)","('analogy', 6)","('supposed', 6)","('foundation', 6)","('common', 6)","('csm', 6)"
Semantic Conceptions of Information_2 Information as data communication.txt,"('information', 77)","('symbols', 34)","('data', 32)","('mtc', 26)","('symbol', 26)","('one', 21)","('coin', 21)","('message', 20)","('probability', 19)","('two', 18)","('communication', 17)","('entropy', 17)","('system', 16)","('deficit', 16)","('device', 15)","('langle', 15)","('string', 14)","('case', 13)","('raven', 13)","('amount', 12)"
Teleological Theories of Mental Content_3 Teleosemantic Theories.txt,"('theory', 93)","('content', 91)","('representation', 62)","('theories', 48)","('representations', 43)","('teleological', 39)","('function', 39)","('conditions', 34)","('might', 33)","('system', 31)","('one', 30)","('concepts', 30)","('frog', 29)","('red', 28)","('problem', 27)","('systems', 26)","('however', 25)","('case', 24)","('contents', 24)","('see', 23)"
Logic and Artificial Intelligence_8 Towards a Formalization of Common Sense.txt,"('formalization', 20)","('sense', 18)","('common', 17)","('reasoning', 13)","('knowledge', 9)","('problem', 8)","('problems', 7)","('methods', 7)","('formalizations', 6)","('systems', 6)","('larger', 5)","('even', 5)","('effort', 5)","('community', 5)","('qualitative', 4)","('physics', 4)","('develop', 4)","('methodology', 4)","('many', 4)","('morgenstern', 4)"
Aristotles Logic_1 Introduction.txt,"('logic', 4)","('modern', 4)","('formal', 3)","('remarkable', 3)","('logical', 2)","('study', 2)","('respect', 2)","('many', 2)","('aristotle', 2)","('even', 2)","('two', 2)","('work', 2)","('much', 2)","('works', 1)","('contain', 1)","('earliest', 1)","('therefore', 1)","('together', 1)","('comprise', 1)","('highly', 1)"
Luitzen Egbertus Jan Brouwer_1 The Person.txt,"('brouwer', 13)","('mathematics', 6)","('korteweg', 5)","('also', 5)","('university', 4)","('amsterdam', 4)","('mannoury', 4)","('among', 4)","('mechanics', 3)","('netherlands', 3)","('dutch', 3)","('van', 3)","('der', 3)","('intuitionistic', 3)","('heyting', 3)","('important', 2)","('professor', 2)","('years', 2)","('extraordinarius', 2)","('influential', 2)"
Modal Logic_11 Provability Logics.txt,"('mathbfpa', 17)","('provable', 13)","('provability', 11)","('box', 10)","('mathbfgl', 9)","('sentences', 7)","('sentence', 7)","('system', 6)","('arithmetic', 6)","('mathbfs', 6)","('true', 5)","('bot', 5)","('arightarrow', 5)","('logic', 4)","('mathematics', 4)","('might', 4)","('prove', 4)","('logics', 3)","('example', 3)","('gödel', 3)"
Ancient Logic_3 The early Peripatetics Theophrastus and Eudemus.txt,"('theophrastus', 24)","('syllogisms', 16)","('figure', 13)","('first', 11)","('fortenbaugh', 10)","('prosleptic', 9)","('premise', 8)","('one', 7)","('categorical', 7)","('premises', 6)","('sentences', 6)","('arguments', 6)","('modes', 6)","('later', 5)","('syllogism', 5)","('obtained', 5)","('eudemus', 4)","('aristotle', 4)","('term', 4)","('modal', 4)"
Phenomenal Intentionality_1 Introduction.txt,"('intentionality', 20)","('phenomenal', 18)","('states', 10)","('theory', 9)","('consciousness', 8)","('intentional', 5)","('approach', 4)","('see', 4)","('terms', 3)","('related', 3)","('mental', 2)","('many', 2)","('relations', 2)","('describes', 2)","('taking', 2)","('kriegel', 2)","('reductive', 2)","('versions', 2)","('challenges', 2)","('received', 2)"
States of Affairs_2 Thoughts and States of Affairs.txt,"('affairs', 101)","('possible', 56)","('states', 54)","('state', 48)","('thoughts', 29)","('different', 27)","('true', 24)","('worlds', 24)","('one', 21)","('modal', 20)","('world', 18)","('properties', 16)","('sentences', 16)","('see', 14)","('obtains', 14)","('necessarily', 13)","('exist', 11)","('thought', 10)","('belief', 10)","('take', 10)"
Abstract Objects_4 The Way of Example.txt,"('distinction', 7)","('way', 5)","('abstract', 5)","('unclear', 5)","('objects', 4)","('abstractconcrete', 3)","('sense', 3)","('example', 2)","('concrete', 2)","('entities', 2)","('primitive', 2)","('question', 2)","('problems', 2)","('supposed', 2)","('come', 2)","('knowledge', 2)","('benacerraf', 2)","('manage', 2)","('refer', 2)","('determinately', 2)"
Logical Constants_Further reading.txt,"('see', 7)","('approach', 5)","('logical', 4)","('discussion', 3)","('recent', 2)","('constants', 2)","('peacocke', 2)","('mccarthy', 2)","('warmbrod', 2)","('tarski', 2)","('terms', 2)","('bonnay', 2)","('read', 2)","('pragmatic', 2)","('general', 1)","('discussions', 1)","('problem', 1)","('include', 1)","('sainsbury', 1)","('gómeztorrente', 1)"
Logic and Artificial Intelligence_2 John McCarthy and Common Sense Logicism10.txt,"('reasoning', 9)","('logical', 8)","('mccarthy', 8)","('methodology', 5)","('research', 4)","('techniques', 4)","('problems', 4)","('work', 4)","('program', 4)","('logic', 4)","('see', 3)","('since', 3)","('formalization', 3)","('would', 3)","('common', 3)","('sense', 3)","('specific', 3)","('one', 2)","('advocated', 2)","('formalize', 2)"
Bernard Bolzano_13 The Socalled Bolzano Circle and Bolzanos Influence on Intellectual History.txt,"('bolzano', 14)","('many', 4)","('often', 4)","('philosophy', 4)","('however', 4)","('influence', 4)","('effect', 4)","('without', 4)","('franz', 3)","('could', 3)","('ideas', 3)","('remained', 3)","('although', 3)","('views', 3)","('familiar', 3)","('well', 3)","('circle', 2)","('pupils', 2)","('cases', 2)","('writings', 2)"
Physicalism_6 Token and Type Physicalism.txt,"('physicalism', 47)","('supervenience', 18)","('token', 18)","('physical', 12)","('property', 9)","('one', 8)","('type', 8)","('see', 7)","('properties', 6)","('identical', 6)","('every', 5)","('world', 5)","('imply', 4)","('dualism', 4)","('possibility', 4)","('capture', 3)","('minimal', 3)","('question', 3)","('particular', 3)","('idea', 3)"
Modal Fictionalism_3 Technical Problems.txt,"('worlds', 32)","('modal', 29)","('possible', 24)","('true', 21)","('rosen', 20)","('fiction', 19)","('fictionalist', 16)","('objection', 14)","('claims', 14)","('hale', 12)","('brockrosen', 10)","('according', 10)","('lewis', 10)","('claim', 9)","('false', 9)","('fictionalism', 8)","('would', 8)","('many', 8)","('necessarily', 7)","('two', 7)"
Concepts_1 The ontology of concepts.txt,"('mental', 46)","('view', 35)","('concepts', 32)","('representations', 28)","('representation', 17)","('language', 17)","('one', 17)","('different', 16)","('senses', 15)","('abilities', 12)","('rtm', 12)","('thought', 12)","('mind', 10)","('beliefs', 10)","('fodor', 9)","('see', 9)","('concept', 8)","('abstract', 8)","('objects', 8)","('example', 8)"
Names_1 Syntax.txt,"('proper', 31)","('noun', 22)","('names', 18)","('name', 15)","('phrase', 11)","('definite', 8)","('verb', 6)","('different', 6)","('syntactic', 5)","('determiner', 5)","('nouns', 4)","('may', 4)","('like', 4)","('common', 4)","('occur', 4)","('article', 4)","('one', 4)","('many', 4)","('english', 3)","('category', 3)"
Propositional Function_12 Conclusion.txt,"('propositional', 3)","('functions', 3)","('logic', 2)","('brief', 1)","('history', 1)","('shows', 1)","('useful', 1)","('entities', 1)","('played', 1)","('central', 1)","('role', 1)","('used', 1)","('philosophy', 1)","('linguistics', 1)","('omitted', 1)","('mathematical', 1)","('uses', 1)","('example', 1)","('russells', 1)","('ramseys', 1)"
Interpretations of Probability_4 Conclusion Recent Trends Future Prospects.txt,"('probability', 31)","('see', 21)","('probabilities', 18)","('theory', 17)","('interpretations', 10)","('also', 10)","('information', 10)","('bayesian', 9)","('interpretation', 8)","('evidence', 8)","('credences', 8)","('physical', 6)","('principle', 6)","('causal', 6)","('research', 6)","('entry', 5)","('various', 5)","('humans', 5)","('recent', 5)","('regarding', 4)"
Intentionality_9 Can intentionality be naturalized.txt,"('intentionality', 29)","('intentional', 23)","('one', 17)","('mental', 16)","('see', 15)","('information', 15)","('function', 15)","('things', 12)","('exhibit', 11)","('natural', 11)","('biological', 11)","('physical', 10)","('device', 10)","('physicalist', 8)","('nonmental', 8)","('two', 8)","('carries', 8)","('functions', 8)","('sentences', 7)","('states', 7)"
The Contents of Perception_5 How Are Objects Represented In Perception.txt,"('experience', 43)","('cube', 23)","('experiences', 21)","('one', 19)","('contents', 19)","('proposal', 18)","('objects', 17)","('properties', 16)","('object', 16)","('see', 14)","('visual', 13)","('represented', 12)","('view', 12)","('things', 12)","('red', 11)","('phenomenology', 11)","('body', 10)","('seeing', 9)","('represent', 9)","('looks', 8)"
Philosophy of Mathematics_6 The Future.txt,"('mathematical', 11)","('philosophy', 6)","('mathematics', 5)","('questions', 4)","('concepts', 4)","('philosophical', 3)","('understanding', 3)","('computer', 3)","('proofs', 3)","('deep', 3)","('twentieth', 2)","('century', 2)","('research', 2)","('knowledge', 2)","('foundational', 2)","('concerns', 2)","('traditional', 2)","('relating', 2)","('scientific', 2)","('attention', 2)"
Virtue Ethics_3 Objections to virtue ethics.txt,"('virtue', 54)","('ethics', 26)","('virtues', 25)","('action', 19)","('one', 15)","('right', 13)","('terms', 13)","('would', 12)","('objection', 12)","('problem', 12)","('rules', 11)","('claims', 10)","('normative', 9)","('ethical', 9)","('virtuous', 9)","('even', 9)","('agent', 9)","('ethicists', 8)","('moral', 8)","('whether', 8)"
Gottfried Wilhelm Leibniz_7 Philosophical Theology.txt,"('leibniz', 25)","('world', 18)","('one', 18)","('possible', 14)","('argument', 14)","('god', 11)","('existence', 9)","('perfections', 7)","('worlds', 6)","('must', 6)","('insofar', 6)","('reason', 6)","('leibnizs', 5)","('best', 5)","('first', 5)","('exists', 5)","('short', 5)","('able', 5)","('fact', 5)","('necessary', 5)"
Medieval Theories of Relations_5 NonParadigmatic Relational Situations.txt,"('relations', 53)","('relation', 43)","('reason', 36)","('relational', 29)","('god', 27)","('medieval', 25)","('philosophers', 23)","('things', 23)","('socrates', 20)","('one', 19)","('aquinas', 19)","('situations', 18)","('real', 18)","('even', 18)","('thus', 17)","('accident', 17)","('related', 15)","('accidents', 15)","('concept', 15)","('case', 13)"
Qualia_5 Qualia and the Explanatory Gap.txt,"('gap', 12)","('concepts', 10)","('phenomenal', 6)","('physical', 6)","('subjective', 6)","('view', 6)","('explanatory', 5)","('objective', 4)","('experiences', 4)","('feelings', 4)","('others', 4)","('physicalist', 4)","('states', 3)","('see', 3)","('world', 3)","('irreducibly', 3)","('one', 3)","('grasp', 2)","('like', 2)","('introspection', 2)"
Mental Representation in Medieval Philosophy_3 Peter Olivi and the Rejection of Formal Sameness.txt,"('species', 22)","('theory', 10)","('object', 8)","('cognition', 7)","('olivi', 7)","('thing', 5)","('representations', 5)","('seems', 4)","('hence', 4)","('one', 3)","('century', 3)","('mind', 3)","('cognized', 3)","('cognizer', 3)","('however', 3)","('real', 3)","('spiritual', 3)","('cannot', 3)","('thirteenth', 2)","('aquinas', 2)"
Set Theory_6 The set theory of the continuum.txt,"('sets', 40)","('set', 37)","('projective', 14)","('property', 12)","('numbers', 11)","('every', 11)","('mathbbr', 10)","('mathcaln', 10)","('zfc', 10)","('properties', 9)","('coanalytic', 9)","('real', 8)","('regularity', 8)","('borel', 8)","('analytic', 8)","('determined', 8)","('space', 7)","('one', 7)","('reals', 7)","('perfect', 7)"
Wittgensteins Aesthetics_3 The Comparative Approach.txt,"('would', 19)","('wittgenstein', 17)","('work', 16)","('aesthetic', 12)","('one', 11)","('lectures', 9)","('kind', 8)","('language', 8)","('shows', 6)","('case', 6)","('way', 6)","('mind', 6)","('art', 6)","('expression', 6)","('human', 6)","('certain', 5)","('works', 5)","('another', 5)","('gives', 5)","('wittgensteins', 5)"
Physicalism_15 The Case Against Physicalism II Meaning and Intentionality.txt,"('argument', 16)","('theory', 12)","('dispositional', 10)","('intentionality', 9)","('physicalism', 8)","('one', 8)","('kripkes', 8)","('word', 8)","('red', 8)","('fact', 6)","('meaning', 6)","('qualia', 5)","('certain', 5)","('means', 5)","('apply', 5)","('issue', 5)","('would', 5)","('proposal', 5)","('problems', 4)","('first', 4)"
Propositions_2 Roles for Propositions Modality.txt,"('propositions', 17)","('sense', 13)","('thought', 12)","('false', 10)","('frege', 9)","('moore', 9)","('russell', 9)","('theory', 8)","('belief', 7)","('true', 7)","('sentences', 7)","('senses', 7)","('object', 6)","('thinking', 6)","('seems', 6)","('truth', 6)","('thoughts', 6)","('rather', 5)","('writings', 5)","('clear', 5)"
Possible Worlds_2 Three Philosophical  Conceptions of Possible Worlds.txt,"('world', 147)","('possible', 107)","('worlds', 103)","('affairs', 60)","('actual', 55)","('modal', 50)","('fact', 49)","('states', 48)","('facts', 48)","('simple', 46)","('exist', 43)","('could', 39)","('objects', 37)","('truth', 35)","('lewis', 35)","('things', 34)","('hence', 34)","('simply', 33)","('however', 33)","('semantics', 30)"
Ernst Cassirer_1 Biography.txt,"('cassirer', 20)","('philosophy', 8)","('kant', 6)","('years', 6)","('first', 5)","('berlin', 4)","('university', 4)","('took', 4)","('marburg', 4)","('work', 4)","('two', 4)","('symbolic', 4)","('forms', 4)","('new', 4)","('philosophical', 4)","('see', 4)","('german', 3)","('part', 3)","('writings', 3)","('germany', 3)"
Formalism in the Philosophy of Mathematics_3 Tractarian Formalism.txt,"('wittgenstein', 20)","('mathematics', 15)","('one', 14)","('account', 12)","('tractatus', 10)","('operators', 9)","('mathematical', 8)","('arithmetic', 8)","('propositions', 7)","('language', 7)","('functions', 7)","('omega', 7)","('see', 6)","('rather', 6)","('theory', 6)","('express', 5)","('truth', 5)","('utterances', 5)","('sense', 5)","('view', 5)"
Eliminative Materialism_5 Concluding Comments.txt,"('eliminative', 9)","('materialism', 9)","('mind', 7)","('account', 5)","('theory', 5)","('nature', 4)","('mental', 4)","('states', 4)","('psychology', 3)","('thus', 3)","('various', 3)","('projects', 3)","('perspective', 3)","('scientific', 3)","('may', 3)","('commonsense', 2)","('would', 2)","('provide', 2)","('writers', 2)","('like', 2)"
Skepticism_1 Knowledge Justification and Skepticism.txt,"('know', 13)","('skepticism', 12)","('even', 11)","('proposition', 9)","('justified', 9)","('doxastic', 7)","('propositions', 6)","('philosophical', 6)","('belief', 6)","('attitude', 6)","('knowledge', 5)","('judgment', 5)","('respect', 5)","('claim', 4)","('ordinary', 4)","('disbelief', 4)","('adopt', 4)","('suspension', 4)","('would', 3)","('thus', 3)"
Formalism in the Philosophy of Mathematics_1 Introduction.txt,"('frege', 7)","('position', 6)","('formalism', 5)","('finitary', 5)","('mathematics', 4)","('hilbert', 4)","('sector', 4)","('hilbertian', 3)","('formalist', 3)","('nonhilbertian', 3)","('approach', 3)","('language', 3)","('ideal', 3)","('proof', 3)","('mathematicians', 2)","('heine', 2)","('thomae', 2)","('philosophers', 2)","('widely', 2)","('adopted', 2)"
Russells Logical Atomism_2 Origins and Development of Russells Logical Atomism.txt,"('russell', 67)","('proposition', 57)","('propositions', 32)","('relation', 31)","('class', 27)","('entity', 21)","('would', 19)","('classes', 18)","('moore', 17)","('entities', 17)","('understood', 16)","('pom', 16)","('complex', 15)","('theory', 15)","('truth', 14)","('however', 14)","('true', 14)","('part', 13)","('term', 13)","('concept', 13)"
The Language of Thought Hypothesis_6 Regress Objections to LOTH.txt,"('mentalese', 24)","('concept', 18)","('fodor', 12)","('concepts', 11)","('learning', 10)","('denotations', 10)","('regress', 9)","('hypothesis', 9)","('represent', 9)","('language', 8)","('word', 8)","('say', 8)","('words', 7)","('innate', 7)","('argument', 7)","('understanding', 5)","('learn', 5)","('learned', 5)","('one', 5)","('loth', 4)"
Plato_9 Does Plato change his mind about forms.txt,"('forms', 12)","('way', 11)","('dialogues', 7)","('one', 5)","('dialogue', 5)","('plato', 5)","('mind', 4)","('reading', 3)","('whether', 3)","('interlocutor', 3)","('criticism', 3)","('parmenides', 3)","('find', 3)","('presuppose', 2)","('main', 2)","('abstract', 2)","('entities', 2)","('assumptions', 2)","('principal', 2)","('nature', 2)"
Logical Form_7 Notation and Restricted Quantification.txt,"('boy', 25)","('form', 14)","('one', 13)","('sang', 9)","('logical', 9)","('grammatical', 8)","('ordered', 7)","('say', 7)","('extension', 7)","('sentence', 6)","('restricted', 6)","('iff', 6)","('function', 6)","('quantifiers', 5)","('individual', 5)","('boys', 5)","('pair', 5)","('argument', 5)","('quantifier', 4)","('also', 4)"
The Frege Hilbert Controversy_1 Introduction.txt,"('consistency', 6)","('independence', 6)","('axioms', 5)","('mathematical', 5)","('hilbert', 4)","('geometry', 4)","('theory', 4)","('foundations', 3)","('approach', 3)","('see', 3)","('two', 3)","('lecture', 2)","('published', 2)","('development', 2)","('logic', 2)","('work', 2)","('role', 2)","('theories', 2)","('treatment', 2)","('demonstrations', 2)"
Epistemological Problems of Perception_2 Metaphysical Solutions to the Central Problem.txt,"('perceptual', 45)","('objects', 41)","('perception', 40)","('direct', 35)","('experience', 29)","('external', 26)","('one', 22)","('principle', 19)","('metaphysical', 18)","('experiences', 18)","('directness', 17)","('indirectness', 16)","('mind', 16)","('epistemological', 15)","('mental', 15)","('view', 15)","('realism', 15)","('problem', 14)","('directly', 13)","('different', 13)"
Eliminative Materialism_2 Contemporary Eliminative Materialism.txt,"('mental', 26)","('states', 22)","('folk', 20)","('eliminative', 19)","('psychology', 19)","('scientific', 17)","('commonsense', 16)","('like', 14)","('claim', 12)","('concept', 12)","('category', 12)","('theory', 11)","('posits', 11)","('materialism', 10)","('notion', 10)","('nothing', 10)","('conception', 9)","('alternative', 9)","('science', 9)","('psychological', 8)"
Set Theory_1 The origins.txt,"('set', 23)","('theory', 12)","('numbers', 11)","('sets', 10)","('axiom', 8)","('real', 6)","('elements', 6)","('natural', 5)","('property', 5)","('also', 5)","('cantor', 4)","('see', 4)","('finite', 4)","('infinite', 3)","('different', 3)","('settheoretic', 3)","('mathematicians', 3)","('cardinality', 3)","('thus', 3)","('formulated', 3)"
Reference_4 Definite Descriptions.txt,"('descriptions', 33)","('definite', 26)","('refer', 23)","('like', 13)","('description', 11)","('reference', 10)","('one', 9)","('even', 9)","('names', 9)","('claim', 9)","('russell', 8)","('use', 8)","('token', 8)","('referential', 7)","('used', 7)","('material', 6)","('rather', 6)","('see', 6)","('indexicals', 6)","('strawson', 6)"
Pseudo Dionysius the Areopagite_4 Sources Ideas Character of Writing Terms Christianity and Neoplatonism.txt,"('dionysius', 26)","('world', 23)","('divine', 21)","('one', 19)","('god', 19)","('thought', 13)","('things', 13)","('even', 12)","('hierarchy', 12)","('love', 12)","('theology', 11)","('human', 11)","('form', 11)","('neoplatonism', 10)","('beyond', 10)","('neoplatonic', 10)","('rather', 9)","('beings', 9)","('intellect', 9)","('writing', 8)"
Modal Fictionalism_2 Fictionalism in Context.txt,"('fictions', 9)","('possible', 8)","('worlds', 8)","('theories', 5)","('ontology', 5)","('status', 4)","('fictional', 4)","('objects', 4)","('fiction', 3)","('claims', 3)","('one', 3)","('rosen', 3)","('abstract', 3)","('theory', 2)","('holds', 2)","('issue', 2)","('treatment', 2)","('question', 2)","('whether', 2)","('ontological', 2)"
Bertrand Russell_2 Russells Work in Logic.txt,"('theory', 19)","('mathematics', 14)","('logic', 13)","('russell', 11)","('set', 9)","('paradox', 6)","('principles', 6)","('sets', 6)","('sentences', 6)","('axiom', 6)","('whitehead', 5)","('may', 5)","('classes', 5)","('principia', 5)","('mathematica', 5)","('book', 5)","('also', 4)","('logicism', 4)","('logical', 4)","('level', 4)"
Neutral Monism_9 Concluding Remarks.txt,"('neutral', 20)","('monism', 15)","('traditional', 8)","('versions', 5)","('see', 4)","('new', 4)","('section', 3)","('james', 2)","('russell', 2)","('leads', 2)","('experience', 2)","('entities', 2)","('perhaps', 2)","('efforts', 2)","('interest', 2)","('hold', 2)","('hope', 2)","('development', 2)","('explore', 2)","('ideas', 2)"
Mereology_2 Core Principles.txt,"('part', 36)","('parthood', 24)","('may', 22)","('also', 18)","('one', 17)","('relation', 15)","('proper', 14)","('theory', 13)","('would', 13)","('identity', 11)","('see', 11)","('antisymmetry', 10)","('however', 9)","('concerning', 9)","('could', 9)","('case', 8)","('following', 8)","('mereology', 8)","('definition', 8)","('principles', 7)"
Carl Hempel_7 The Problem of Provisos.txt,"('laws', 9)","('theory', 8)","('theories', 8)","('may', 5)","('scientific', 5)","('conditions', 5)","('theoretical', 5)","('hempel', 4)","('principles', 4)","('language', 4)","('application', 4)","('properties', 4)","('problem', 3)","('distinction', 3)","('beyond', 3)","('specified', 3)","('provisos', 3)","('complex', 3)","('law', 3)","('true', 3)"
Epistemological Problems of Perception_3 Epistemological Solutions.txt,"('beliefs', 111)","('perceptual', 71)","('justified', 55)","('justification', 54)","('belief', 53)","('experiences', 52)","('one', 50)","('evidence', 50)","('experience', 38)","('foundationalism', 37)","('perception', 36)","('appearance', 29)","('view', 27)","('would', 24)","('seemings', 24)","('claim', 23)","('good', 22)","('epistemological', 20)","('classical', 20)","('internalism', 20)"
Cognitive Science_3 Representation and Computation.txt,"('cognitive', 9)","('mind', 7)","('science', 6)","('brain', 5)","('thinking', 4)","('structures', 4)","('computational', 4)","('computers', 4)","('procedures', 3)","('representations', 3)","('work', 3)","('mental', 3)","('integration', 3)","('central', 2)","('hypothesis', 2)","('current', 2)","('including', 2)","('theories', 2)","('model', 2)","('data', 2)"
Set Theory_9 The search for new axioms.txt,"('zfc', 6)","('axioms', 6)","('one', 5)","('new', 4)","('questions', 3)","('answer', 3)","('search', 3)","('forcing', 2)","('mathematics', 2)","('uncountable', 2)","('undecidability', 2)","('see', 2)","('truthvalue', 2)","('statements', 2)","('undecidable', 2)","('position', 2)","('program', 2)","('philosophical', 2)","('large', 2)","('cardinals', 2)"
Moral Cognitivism vs  Non Cognitivism_2 Principal Varieties in More Detail.txt,"('moral', 80)","('sentences', 31)","('judgments', 31)","('express', 28)","('one', 26)","('action', 24)","('way', 20)","('attitude', 20)","('noncognitive', 20)","('attitudes', 18)","('gibbard', 18)","('terms', 17)","('noncognitivism', 16)","('states', 16)","('property', 16)","('judgment', 16)","('view', 15)","('theories', 15)","('normative', 15)","('think', 14)"
